frame,NOSE_conf,LEFT_EYE_conf,RIGHT_EYE_conf,LEFT_EAR_conf,RIGHT_EAR_conf,LEFT_SHOULDER_conf,RIGHT_SHOULDER_conf,LEFT_ELBOW_conf,RIGHT_ELBOW_conf,LEFT_WRIST_conf,RIGHT_WRIST_conf,LEFT_HIP_conf,RIGHT_HIP_conf,LEFT_KNEE_conf,RIGHT_KNEE_conf,LEFT_ANKLE_conf,RIGHT_ANKLE_conf
1.0,0.9951999,0.99135125,0.95293415,0.952628,0.3585132,0.99650574,0.99821377,0.96591014,0.9846644,0.9607454,0.9772348,0.9988374,0.9992198,0.9979614,0.9986482,0.99087536,0.99385023
2.0,0.99481034,0.99048924,0.9519973,0.9489848,0.36781472,0.99592763,0.99821174,0.95794725,0.98473626,0.9524991,0.97683,0.9987557,0.9992324,0.99795216,0.9987656,0.9913796,0.9945852
3.0,0.9949209,0.98770475,0.96493983,0.915268,0.51160896,0.9954195,0.99839044,0.94796324,0.9868731,0.9422729,0.9790755,0.9986539,0.9992574,0.9977666,0.9988134,0.99103093,0.99484587
4.0,0.9947836,0.9884134,0.9598783,0.9264516,0.46044016,0.995915,0.9982686,0.95824194,0.98606724,0.9531466,0.9787788,0.99875474,0.999241,0.997908,0.9987552,0.9910289,0.99438286
5.0,0.9963497,0.9907755,0.9736066,0.91619146,0.532064,0.99623424,0.9982311,0.9599814,0.98495424,0.95651907,0.97844416,0.9986702,0.99913955,0.9978448,0.99862826,0.99099004,0.99400854
6.0,0.99533087,0.9897736,0.9625839,0.93109417,0.45858854,0.9963438,0.9981748,0.96312845,0.9845607,0.9580189,0.9771568,0.9987721,0.99918276,0.99788576,0.9986105,0.99070424,0.99368757
7.0,0.99398744,0.9859211,0.9574041,0.91454256,0.49757707,0.9963265,0.99808526,0.9641253,0.9842892,0.9575712,0.9762323,0.9988305,0.99920124,0.9979644,0.99862576,0.9909903,0.9937356
8.0,0.99387956,0.979122,0.97118944,0.82978594,0.6866131,0.9957681,0.9981427,0.953666,0.9851784,0.9457798,0.97663546,0.99875855,0.99921846,0.9979303,0.99872774,0.9916128,0.9945034
9.0,0.993737,0.97953767,0.96847266,0.8444956,0.6595896,0.995915,0.998256,0.9574493,0.9867523,0.9507948,0.97927445,0.99881625,0.99926716,0.99795157,0.998765,0.99122906,0.99435645
10.0,0.99366105,0.9796546,0.9681293,0.84686804,0.6570621,0.99589455,0.9982053,0.9562176,0.98589116,0.94887495,0.97785735,0.99882394,0.99926394,0.99803585,0.99880195,0.9918909,0.9947231
11.0,0.99512273,0.9850708,0.9727533,0.86862457,0.6341493,0.9963237,0.9981791,0.96265,0.98549414,0.9578735,0.97884744,0.9988306,0.9992174,0.99808335,0.99873906,0.99181354,0.9943639
12.0,0.9931738,0.9765202,0.9684567,0.81888396,0.69299114,0.99629265,0.9979519,0.9632865,0.9838627,0.95590276,0.97569567,0.9988971,0.999213,0.9981504,0.99869424,0.99196905,0.99412245
13.0,0.99484915,0.9836712,0.97219276,0.85871047,0.6470851,0.9962847,0.9981369,0.9618587,0.98506516,0.9560647,0.97781175,0.99882823,0.9992099,0.9980368,0.998697,0.9916467,0.9941949
14.0,0.9891672,0.97411335,0.9477583,0.85287774,0.5432413,0.9922694,0.9966794,0.9258193,0.97535944,0.9079932,0.9584839,0.9970387,0.9981775,0.9949239,0.99695456,0.9840514,0.98983127
15.0,0.9892482,0.96831393,0.95751446,0.79560274,0.64213884,0.99147004,0.99696213,0.91266334,0.9783967,0.8938254,0.9623106,0.9968658,0.9982504,0.9944652,0.99703,0.9829369,0.9899155
16.0,0.9891895,0.96814615,0.9579652,0.78728306,0.64965284,0.9922741,0.9965238,0.924898,0.9745473,0.90758955,0.9581167,0.9970552,0.9981316,0.99508613,0.996962,0.9849999,0.99008137
17.0,0.9880213,0.9652365,0.9529882,0.7894807,0.633396,0.9916713,0.9967693,0.91932195,0.97758466,0.90110093,0.96151954,0.9970379,0.99826473,0.9949373,0.9971307,0.98455507,0.9904945
18.0,0.9923844,0.9728002,0.9668041,0.80982214,0.69895726,0.9951794,0.9984139,0.9461876,0.9885711,0.9375059,0.98062104,0.99874806,0.9993262,0.99777895,0.9988538,0.99075633,0.99470127
19.0,0.9919125,0.9795759,0.949008,0.89407027,0.52310735,0.9959228,0.9982759,0.96112645,0.98744696,0.9538489,0.9798432,0.9989128,0.9993358,0.9980552,0.9988404,0.99122953,0.99446505
20.0,0.990673,0.9728032,0.9514711,0.853672,0.6064919,0.995993,0.9981225,0.96142775,0.9861314,0.95237756,0.9774455,0.9989497,0.9993174,0.99811494,0.9987991,0.9915588,0.994362
21.0,0.99330056,0.97622275,0.9699509,0.8133767,0.6994989,0.99573565,0.9982103,0.95496136,0.9866089,0.94727385,0.9786678,0.99877816,0.9992489,0.9978496,0.99871564,0.9910024,0.9942239
22.0,0.9922551,0.9748103,0.9631309,0.83095676,0.6629842,0.9959266,0.9981482,0.9593377,0.9862795,0.95159966,0.978297,0.99886775,0.9992749,0.99804485,0.9987758,0.99166846,0.9944666
23.0,0.98625374,0.96816325,0.93674004,0.8416099,0.52818286,0.99136156,0.99614584,0.9194098,0.97186047,0.89738446,0.9517545,0.9967753,0.9979759,0.99454355,0.99666363,0.98356307,0.9893718
24.0,0.9843055,0.9577415,0.9386004,0.7940754,0.6057843,0.99149734,0.99642485,0.9194407,0.974901,0.8958677,0.95546126,0.99698097,0.99815804,0.9945932,0.9968016,0.98320997,0.9893211
25.0,0.98537827,0.95900416,0.9426273,0.78451985,0.6244148,0.9931379,0.99618965,0.9397007,0.9726849,0.9198868,0.9542546,0.99744344,0.9981792,0.9954423,0.996793,0.98515785,0.9891679
26.0,0.98186123,0.9433829,0.9377513,0.7339331,0.6659824,0.9922544,0.9965521,0.92920107,0.9767829,0.906705,0.95876783,0.9976756,0.9985293,0.9959942,0.99752516,0.9873815,0.9916489
27.0,0.9927468,0.968983,0.97396517,0.7412506,0.7791054,0.9954922,0.9982198,0.9499121,0.98687077,0.94128156,0.9785967,0.99874085,0.9992471,0.9978276,0.99874,0.9912985,0.99449676
28.0,0.9873564,0.95661867,0.957553,0.7256495,0.7045953,0.99194837,0.99686676,0.92294496,0.97932273,0.90499467,0.9642189,0.99717253,0.9983321,0.9949679,0.9971349,0.9841137,0.9901012
