frame,NOSE_x,NOSE_y,LEFT_EYE_x,LEFT_EYE_y,RIGHT_EYE_x,RIGHT_EYE_y,LEFT_EAR_x,LEFT_EAR_y,RIGHT_EAR_x,RIGHT_EAR_y,LEFT_SHOULDER_x,LEFT_SHOULDER_y,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,LEFT_ELBOW_x,LEFT_ELBOW_y,RIGHT_ELBOW_x,RIGHT_ELBOW_y,LEFT_WRIST_x,LEFT_WRIST_y,RIGHT_WRIST_x,RIGHT_WRIST_y,LEFT_HIP_x,LEFT_HIP_y,RIGHT_HIP_x,RIGHT_HIP_y,LEFT_KNEE_x,LEFT_KNEE_y,RIGHT_KNEE_x,RIGHT_KNEE_y,LEFT_ANKLE_x,LEFT_ANKLE_y,RIGHT_ANKLE_x,RIGHT_ANKLE_y
1.0,0.5258957,0.4810602,0.5330067,0.4764253,0.52026683,0.47624952,0.54997784,0.47310638,0.51423717,0.47348565,0.5746213,0.49092072,0.5089237,0.4923146,0.56565106,0.5259605,0.51931345,0.5282487,0.5505163,0.56289047,0.53787553,0.5641871,0.57026356,0.5456341,0.51768655,0.5452636,0.5862271,0.6056505,0.4948258,0.60441595,0.600308,0.6609385,0.4740444,0.660994
2.0,0.5261123,0.4812525,0.5332943,0.4765044,0.52032435,0.4763085,0.55023366,0.47290066,0.51408714,0.47323045,0.5746902,0.49045995,0.5083862,0.49181414,0.56540716,0.5256728,0.5188822,0.52743465,0.55053085,0.56262356,0.5380577,0.56382346,0.56962407,0.543918,0.5166686,0.54367805,0.58607537,0.60422015,0.49344602,0.6039682,0.5997263,0.6593703,0.4742178,0.66052455
3.0,0.52871805,0.48178932,0.53581405,0.47696012,0.52218616,0.4769227,0.55111235,0.47286138,0.51421535,0.47346935,0.57429844,0.49049288,0.5075655,0.49213085,0.56556123,0.52553296,0.5191376,0.52787846,0.5502227,0.56264645,0.5381766,0.5638892,0.56986296,0.5451311,0.51682484,0.5449782,0.58571184,0.6050527,0.49360418,0.604372,0.599659,0.6599411,0.47433788,0.6602323
4.0,0.52771866,0.4820434,0.53500575,0.47719765,0.5214163,0.47703424,0.5508251,0.4728981,0.51384425,0.47321567,0.57423145,0.49018326,0.50756085,0.49155393,0.5648345,0.5258359,0.51963806,0.52785903,0.5490394,0.5626106,0.5373838,0.5637722,0.57042253,0.54375637,0.5173426,0.5434954,0.5857461,0.60433984,0.4942272,0.6035207,0.5998605,0.6598872,0.47417754,0.66041005
5.0,0.5291046,0.48135376,0.5365416,0.47646073,0.5223612,0.4763528,0.5517601,0.47270823,0.5137606,0.47308242,0.5733486,0.49049538,0.5073015,0.49171162,0.5633949,0.52575505,0.51915044,0.52722657,0.5490913,0.56239736,0.53825855,0.5631358,0.5700286,0.5434536,0.5175509,0.54326093,0.5848442,0.6030276,0.49441844,0.6026105,0.5994027,0.65905553,0.47429007,0.6593812
6.0,0.52724415,0.48191294,0.5346552,0.47708732,0.5210366,0.47678763,0.55028665,0.47303015,0.5132933,0.47304618,0.57275844,0.49038696,0.5065775,0.4919077,0.56434864,0.5247026,0.5193144,0.5277297,0.54915637,0.5618689,0.5378461,0.56334966,0.56929535,0.54382575,0.5165394,0.5437414,0.5851769,0.60400885,0.49309343,0.6039219,0.5995216,0.65973496,0.47375327,0.66040957
7.0,0.52742064,0.48222342,0.5346104,0.47752485,0.5213628,0.47723928,0.549314,0.47345722,0.5138189,0.47341758,0.57217586,0.49041048,0.5065804,0.4916317,0.5646127,0.5250468,0.51938576,0.5273666,0.5493575,0.5619414,0.53764755,0.56299716,0.56946313,0.5435701,0.51718915,0.54331756,0.5847558,0.6040053,0.4940996,0.6031268,0.5997758,0.6594282,0.47403345,0.6601135
8.0,0.53111494,0.4823554,0.5378321,0.47733966,0.52395904,0.4777112,0.5508286,0.4724453,0.5143247,0.47377023,0.5729516,0.48934698,0.50637543,0.49171656,0.564809,0.52454215,0.5199153,0.5274687,0.5491055,0.5623197,0.5378362,0.5635439,0.57015365,0.5441944,0.5173774,0.5443498,0.58524424,0.6046151,0.49356645,0.6036358,0.59849304,0.6597154,0.4747857,0.65934
9.0,0.5301926,0.4823407,0.5370698,0.47741622,0.52336484,0.47757295,0.55027795,0.47276562,0.5142427,0.47360516,0.5725077,0.489755,0.506245,0.49153557,0.563234,0.52494276,0.5194965,0.52719355,0.547789,0.5621172,0.5369363,0.56335163,0.5698996,0.54388374,0.51721084,0.5437719,0.58517396,0.6048892,0.49381375,0.603315,0.5991806,0.66001433,0.4745496,0.65994656
10.0,0.5302039,0.48216584,0.53687114,0.47725588,0.5232367,0.4775582,0.55000395,0.47271243,0.51416063,0.4739205,0.57231563,0.48965883,0.5067175,0.49192792,0.5641015,0.5250145,0.51953727,0.52767605,0.5486119,0.5624929,0.53741825,0.56367546,0.5693538,0.5443574,0.5171946,0.5445306,0.5844484,0.60478574,0.49355078,0.604199,0.59955364,0.6600191,0.4741996,0.6607122
