frame,NOSE_conf,LEFT_EYE_conf,RIGHT_EYE_conf,LEFT_EAR_conf,RIGHT_EAR_conf,LEFT_SHOULDER_conf,RIGHT_SHOULDER_conf,LEFT_ELBOW_conf,RIGHT_ELBOW_conf,LEFT_WRIST_conf,RIGHT_WRIST_conf,LEFT_HIP_conf,RIGHT_HIP_conf,LEFT_KNEE_conf,RIGHT_KNEE_conf,LEFT_ANKLE_conf,RIGHT_ANKLE_conf
1.0,0.9560393,0.8531351,0.9242301,0.4833718,0.762635,0.98955184,0.9923119,0.9490838,0.97063994,0.93458843,0.9568802,0.9960478,0.99669385,0.9948815,0.9959132,0.98801094,0.9897249
2.0,0.95628136,0.83904624,0.9319065,0.4492495,0.80001205,0.9869833,0.9932116,0.9332804,0.97677773,0.9226842,0.96512103,0.99433833,0.99640095,0.9925097,0.9956827,0.9832525,0.988571
3.0,0.95577407,0.8312814,0.9340722,0.43072554,0.8133603,0.9864423,0.99350923,0.92813826,0.97811913,0.9177391,0.96643865,0.99424994,0.9965237,0.9924856,0.9958943,0.9835141,0.9891824
4.0,0.9561008,0.8233506,0.9385596,0.40550393,0.83196837,0.9855216,0.993926,0.92156327,0.9804797,0.91295815,0.96946037,0.99393445,0.99660397,0.99209386,0.99602,0.98281485,0.98937815
5.0,0.9512448,0.8225549,0.9271519,0.4180123,0.80231357,0.9885451,0.99287206,0.9439907,0.97516894,0.92997307,0.9621341,0.9960633,0.99699056,0.99497885,0.9963397,0.98831534,0.9905998
6.0,0.9492712,0.8105899,0.92707133,0.39679357,0.81036663,0.9877993,0.9930345,0.94016427,0.97674984,0.9265744,0.96402466,0.99593735,0.99704605,0.99482733,0.99642307,0.98802394,0.9907318
7.0,0.94686526,0.8126989,0.91899234,0.41689798,0.78808886,0.988601,0.9923611,0.9467191,0.97347915,0.932222,0.96001005,0.99621177,0.99696976,0.9951739,0.9962999,0.9886397,0.99050343
8.0,0.9501801,0.83474225,0.9155659,0.46448365,0.7574448,0.9894565,0.99213696,0.95132446,0.97133833,0.93680674,0.95767593,0.99630016,0.9968726,0.9951806,0.9960968,0.98847383,0.9900007
9.0,0.951687,0.83025074,0.9236097,0.44049644,0.78528094,0.9889048,0.99281716,0.94656205,0.97471774,0.9326018,0.96171576,0.99613345,0.9969902,0.9949909,0.99628,0.988226,0.9904143
10.0,0.95350283,0.8358647,0.92662233,0.44499877,0.789494,0.98907465,0.992861,0.9468701,0.9744957,0.93292606,0.96148413,0.99608326,0.9969313,0.99491453,0.9961953,0.98803246,0.9902001
11.0,0.9549594,0.8352885,0.9326699,0.42923746,0.80796194,0.98863786,0.99304515,0.9434798,0.9754937,0.9297659,0.9626631,0.99581677,0.99683565,0.9945515,0.99606836,0.98721224,0.98979414
12.0,0.95426124,0.83585805,0.9296987,0.43722585,0.7982655,0.9887371,0.9929281,0.94442344,0.9749014,0.93056726,0.961929,0.9959092,0.99686605,0.99470747,0.99613094,0.98763114,0.9900427
13.0,0.9537797,0.835074,0.92860335,0.43815747,0.7959292,0.98884726,0.9928352,0.9453046,0.97443867,0.9312516,0.96132684,0.995961,0.9968622,0.9947777,0.99612683,0.9877571,0.99003524
14.0,0.9553065,0.83915794,0.93085754,0.4420408,0.79926986,0.9890463,0.9931143,0.9457082,0.97554547,0.93203586,0.96286625,0.9960102,0.99694604,0.99481046,0.99621695,0.98778206,0.9901862
15.0,0.9558592,0.8459919,0.92891943,0.45956373,0.7867692,0.98935086,0.99286735,0.9478383,0.97401583,0.9339263,0.9610485,0.9960492,0.996865,0.9948519,0.996099,0.98783594,0.989954
16.0,0.95507085,0.84360117,0.9279256,0.4572234,0.78671384,0.9894254,0.9927488,0.94839096,0.97335184,0.93409735,0.96007824,0.9960892,0.99684733,0.99489826,0.99606603,0.98792434,0.98988825
17.0,0.9544797,0.84341556,0.92693007,0.45776263,0.7838282,0.98943615,0.9924866,0.94931877,0.9722725,0.9350068,0.9588691,0.9960919,0.99677473,0.9949437,0.9960014,0.98803675,0.9897892
18.0,0.95338655,0.837043,0.92667454,0.44507188,0.7883543,0.98909,0.99248236,0.9474245,0.97267276,0.93308026,0.9592567,0.996042,0.99679214,0.99492514,0.9960646,0.98806703,0.9899567
19.0,0.9529926,0.8409423,0.9230781,0.46160382,0.7751104,0.9896115,0.9922769,0.95090413,0.9712956,0.93629044,0.9576347,0.996201,0.9967835,0.995086,0.9960055,0.9883585,0.9898581
20.0,0.95394695,0.83551466,0.92876947,0.43657374,0.79478496,0.9888531,0.9927844,0.94651026,0.97471774,0.9332665,0.96215624,0.996024,0.99689686,0.9949103,0.99620724,0.9880349,0.9902264
21.0,0.9532193,0.83723366,0.9257882,0.44671842,0.7848914,0.9891137,0.992451,0.94830495,0.9728511,0.93447703,0.959793,0.99610424,0.99683374,0.995048,0.996148,0.9883603,0.99018466
22.0,0.953439,0.83615273,0.92735845,0.44083208,0.79048634,0.98897296,0.9925573,0.94756263,0.97354794,0.9339382,0.96066177,0.9960323,0.99682224,0.9949163,0.9961016,0.98802096,0.9900011
23.0,0.9528661,0.83423305,0.92667615,0.43805525,0.78953606,0.98876196,0.9924287,0.94574,0.97266895,0.9314862,0.959196,0.9959841,0.99678576,0.9948966,0.99609023,0.98809856,0.99007213
24.0,0.9520152,0.827252,0.92770416,0.42218995,0.7973145,0.9880774,0.99259853,0.9416449,0.97405326,0.92769474,0.9607441,0.9958205,0.9968142,0.9947129,0.9961545,0.9877829,0.9901945
25.0,0.95211333,0.8233979,0.9301446,0.4086667,0.8064254,0.98748523,0.9927564,0.9378776,0.97516555,0.9243252,0.96204984,0.9956233,0.99679595,0.99448436,0.9961577,0.98738134,0.9901918
26.0,0.95390224,0.82836,0.9324541,0.41360044,0.8097349,0.98784,0.99294335,0.93946993,0.97575355,0.92634284,0.9630136,0.99566466,0.99682295,0.99449605,0.99616444,0.9873399,0.99015313
27.0,0.9544473,0.83310986,0.9315859,0.42495188,0.8038563,0.9882423,0.99288815,0.9419408,0.97525966,0.9287075,0.96255213,0.9957675,0.99682605,0.99461395,0.9961541,0.9875544,0.99014837
28.0,0.95505023,0.8357015,0.932031,0.4294089,0.8031735,0.98834026,0.99292326,0.941931,0.97518855,0.9285923,0.962444,0.995774,0.99682826,0.9946137,0.9961532,0.98754764,0.9901468
