frame,NOSE_x,NOSE_y,LEFT_EYE_x,LEFT_EYE_y,RIGHT_EYE_x,RIGHT_EYE_y,LEFT_EAR_x,LEFT_EAR_y,RIGHT_EAR_x,RIGHT_EAR_y,LEFT_SHOULDER_x,LEFT_SHOULDER_y,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,LEFT_ELBOW_x,LEFT_ELBOW_y,RIGHT_ELBOW_x,RIGHT_ELBOW_y,LEFT_WRIST_x,LEFT_WRIST_y,RIGHT_WRIST_x,RIGHT_WRIST_y,LEFT_HIP_x,LEFT_HIP_y,RIGHT_HIP_x,RIGHT_HIP_y,LEFT_KNEE_x,LEFT_KNEE_y,RIGHT_KNEE_x,RIGHT_KNEE_y,LEFT_ANKLE_x,LEFT_ANKLE_y,RIGHT_ANKLE_x,RIGHT_ANKLE_y
1.0,0.47527054,0.57874703,0.4814841,0.5749203,0.47044727,0.57443756,0.48534688,0.57202554,0.4602343,0.5716806,0.48081455,0.58773994,0.44443116,0.5886053,0.48213157,0.61897737,0.4637308,0.6204481,0.4802973,0.6499048,0.48345998,0.6460247,0.4497127,0.6419329,0.42045075,0.64281005,0.46635923,0.68866664,0.4118051,0.6913713,0.480054,0.7340696,0.39958096,0.74041903
2.0,0.4757479,0.57940716,0.48178813,0.575558,0.47096175,0.57514024,0.48532376,0.57284755,0.46122283,0.57237035,0.4817175,0.58912086,0.4442184,0.589078,0.48163265,0.6220687,0.46300766,0.622373,0.48353538,0.65302527,0.48299974,0.6478341,0.4481782,0.6415065,0.41797915,0.64139867,0.46813262,0.6892785,0.41261595,0.6905278,0.47965708,0.7347339,0.39989775,0.7391137
3.0,0.47669768,0.5796241,0.4823257,0.5757797,0.4718722,0.5754279,0.48482034,0.5728331,0.46177584,0.5725084,0.4814187,0.58883935,0.44426417,0.5889537,0.4813513,0.62182444,0.46293768,0.62232846,0.48363727,0.65292305,0.48282912,0.6478948,0.4479686,0.64157516,0.4180639,0.64153653,0.46805793,0.6892748,0.41251513,0.69057745,0.47961873,0.73458546,0.3999499,0.7390291
4.0,0.47791946,0.5794966,0.48331016,0.5756358,0.47296676,0.5753082,0.4848868,0.5726987,0.46227616,0.57242584,0.48104694,0.588695,0.4443528,0.58897454,0.48148447,0.6216516,0.46349546,0.62243754,0.48358786,0.65282434,0.4831396,0.6479841,0.44750023,0.6414051,0.41786647,0.64146507,0.46808225,0.68912506,0.4126398,0.6906024,0.47971824,0.7344494,0.39994138,0.7392634
5.0,0.47937605,0.5784933,0.48444605,0.5746885,0.47419715,0.57436395,0.4848777,0.57180476,0.46219635,0.5718,0.4806107,0.5874653,0.44417003,0.58874553,0.48199317,0.6186702,0.4634413,0.62068886,0.48045424,0.64994115,0.48336005,0.64620966,0.44974068,0.64160633,0.42047107,0.64273244,0.46691674,0.6884482,0.41164178,0.69140744,0.47971684,0.7338394,0.39977103,0.7404555
6.0,0.48038393,0.57845277,0.4851472,0.57463366,0.475124,0.57436734,0.48487943,0.57170886,0.46275827,0.5718266,0.480712,0.58735245,0.44462937,0.5887079,0.48238978,0.6185927,0.4637902,0.6205748,0.48038286,0.6499363,0.48347196,0.64602876,0.4496142,0.6416655,0.42059037,0.6428134,0.46679613,0.68843234,0.41173425,0.6913986,0.47964388,0.7338436,0.3997512,0.7404748
7.0,0.479642,0.57832146,0.4844926,0.5745544,0.47464284,0.57424927,0.48456058,0.57175344,0.46288463,0.57181776,0.48080438,0.5874158,0.44445756,0.58881813,0.4824063,0.61862016,0.46342552,0.62067914,0.48010734,0.65001166,0.4827323,0.64582366,0.44971895,0.6416194,0.42049992,0.642777,0.4666114,0.6883923,0.41113698,0.6914528,0.47912517,0.7337431,0.39903995,0.7404897
8.0,0.47637385,0.5784052,0.48176858,0.5746317,0.47169954,0.5743177,0.4841668,0.5717279,0.46150988,0.5718047,0.4815605,0.5873339,0.44413537,0.58871293,0.4825583,0.6187695,0.4631564,0.6208698,0.48040375,0.6504529,0.48297638,0.6464089,0.45021707,0.6415783,0.42028546,0.6426686,0.4667555,0.6886274,0.4109218,0.69160277,0.47931728,0.73389536,0.39913154,0.7405336
9.0,0.47765666,0.57810146,0.4828702,0.57429975,0.4726626,0.5740314,0.4845284,0.5716132,0.4616778,0.571751,0.4812914,0.5875973,0.44450492,0.5889299,0.4826429,0.6188333,0.46333408,0.6207913,0.4804652,0.65035415,0.48329467,0.6463822,0.4499666,0.64181423,0.42042586,0.64288086,0.4664996,0.688626,0.41101575,0.6915034,0.47937977,0.7339326,0.39895216,0.7404075
10.0,0.47770047,0.5781287,0.48307,0.57431275,0.47260493,0.57400566,0.48484072,0.57162565,0.46142396,0.5716614,0.4811772,0.5876513,0.4443708,0.5888689,0.48236808,0.61903244,0.4634371,0.6209099,0.48051125,0.6505376,0.48349503,0.6467222,0.45003894,0.6417253,0.4205034,0.64275044,0.4663629,0.68875015,0.41117108,0.6915591,0.47918347,0.7341415,0.39918306,0.7405115
11.0,0.4786551,0.5781308,0.48404574,0.5743088,0.47325513,0.57394236,0.48523575,0.57164484,0.46112728,0.57148576,0.48082802,0.5877114,0.44389525,0.58866465,0.48213354,0.6193083,0.46351314,0.6209654,0.4807274,0.65040743,0.48386616,0.64704055,0.45037904,0.6413663,0.4207492,0.6423129,0.46670955,0.68883616,0.41160408,0.691461,0.47938833,0.7344328,0.3995202,0.7405079
12.0,0.4780694,0.5781094,0.48345444,0.5742775,0.47280842,0.5739562,0.48498908,0.57157,0.4612022,0.5715521,0.4810354,0.5875685,0.44422603,0.5887553,0.48233327,0.6190158,0.46364576,0.620959,0.48078507,0.65037066,0.4838275,0.6468558,0.45058814,0.64149106,0.42103332,0.64252126,0.4666658,0.6887611,0.41135788,0.6915543,0.47948053,0.7342129,0.39922154,0.74055666
13.0,0.4779501,0.5782968,0.4832901,0.5744812,0.47273916,0.5741545,0.48470995,0.5716671,0.4611674,0.57164663,0.48085937,0.5874589,0.4439878,0.5886701,0.48225194,0.6190164,0.46355242,0.62097,0.480653,0.65033853,0.48362494,0.6466834,0.450322,0.6412553,0.42073098,0.6423096,0.46665674,0.68853325,0.4112626,0.69137585,0.4795922,0.7340073,0.39931157,0.74042815
14.0,0.47765696,0.5780626,0.483045,0.57423836,0.4723396,0.57393277,0.4848547,0.57165873,0.46083754,0.5716466,0.48103592,0.5878713,0.44432345,0.5888263,0.4823752,0.61938655,0.46365374,0.6209292,0.48056749,0.65041894,0.48404825,0.64701265,0.44989008,0.6414878,0.42034552,0.64238334,0.4666561,0.6888541,0.41155896,0.6913377,0.48001257,0.7346124,0.3996002,0.7403979
15.0,0.47687176,0.5778915,0.4824897,0.5740454,0.47161853,0.57373863,0.48510838,0.57151127,0.46052688,0.5715107,0.48156422,0.5878098,0.44438875,0.5888414,0.48268658,0.6192667,0.46347758,0.62098897,0.48065537,0.6504252,0.48412216,0.6470575,0.45050076,0.64157015,0.42063457,0.6424848,0.46670353,0.68887925,0.4113522,0.69143224,0.4800227,0.7346915,0.39934188,0.7405788
16.0,0.47726792,0.57782036,0.4828333,0.57398593,0.47202,0.57367146,0.48508584,0.57144,0.4607776,0.5714401,0.48135167,0.5876959,0.44426772,0.58882266,0.48237023,0.61919415,0.4634479,0.6210757,0.48052645,0.65039665,0.48376155,0.64698434,0.45035627,0.64153695,0.42057416,0.6425143,0.46667504,0.68891084,0.41127154,0.69158536,0.47987026,0.73448855,0.39935353,0.7405628
17.0,0.47721782,0.5780173,0.4827787,0.5741753,0.4719574,0.57386273,0.48489493,0.57151335,0.46054953,0.5715307,0.4812581,0.587528,0.4435453,0.58878726,0.4821258,0.619027,0.462655,0.62109864,0.48068023,0.650357,0.4829922,0.64665985,0.4504042,0.64109516,0.42026633,0.64217496,0.46682784,0.6883987,0.41115984,0.6912655,0.47958222,0.73407,0.39953724,0.7404409
18.0,0.47782645,0.57833457,0.48317578,0.5744739,0.47253528,0.5741866,0.48469895,0.57155734,0.4609206,0.5716399,0.48096043,0.5872632,0.4439042,0.58859354,0.48210597,0.61884177,0.463303,0.6210134,0.4805446,0.6503213,0.48343936,0.646752,0.45010257,0.6410511,0.4203776,0.6421598,0.46669582,0.6884422,0.4111831,0.691331,0.4799555,0.7342021,0.39951688,0.7405929
19.0,0.47695792,0.5782535,0.48241532,0.57443035,0.47183436,0.574129,0.4844539,0.5716627,0.46074042,0.571722,0.4810955,0.5875005,0.44374734,0.58880967,0.48189336,0.6189395,0.46283147,0.621124,0.48058665,0.6503636,0.48309585,0.6468319,0.4503936,0.64118534,0.42051476,0.64227045,0.46674272,0.68828964,0.41113484,0.6911461,0.4796432,0.7337588,0.39963335,0.74006706
20.0,0.47817293,0.57858604,0.48351666,0.5746964,0.47281086,0.5744147,0.4850334,0.5717089,0.46102116,0.5717897,0.4812006,0.58732885,0.44416836,0.5886419,0.48242968,0.6188568,0.4638415,0.6210148,0.48064122,0.6504982,0.48405644,0.6470159,0.4502424,0.6410114,0.4204857,0.6421018,0.46676177,0.68843234,0.41112757,0.6913015,0.47974724,0.73412365,0.39894366,0.7405341
21.0,0.477676,0.57846487,0.4830794,0.5745978,0.47240737,0.5743061,0.48480314,0.5717229,0.46091643,0.57179606,0.4811105,0.58743596,0.44404092,0.5887553,0.48213354,0.61897945,0.4636828,0.62111187,0.48047394,0.6505964,0.48377964,0.64694047,0.45015734,0.6409427,0.4203777,0.6420357,0.46671036,0.68841225,0.4110803,0.6912955,0.47958758,0.7341711,0.3990303,0.7405768
22.0,0.47804764,0.5785685,0.48343122,0.5746958,0.4727057,0.57439625,0.4849298,0.571764,0.4609193,0.5718082,0.48114273,0.58739036,0.443866,0.58870685,0.48219967,0.6189813,0.46357378,0.62114805,0.48062342,0.650629,0.4839055,0.64703083,0.45053586,0.64088947,0.42062446,0.642,0.46677223,0.68841827,0.4109942,0.69132674,0.47987795,0.7339844,0.3992697,0.74043864
