frame,NOSE_x,NOSE_y,NOSE_z,LEFT_EYE_x,LEFT_EYE_y,LEFT_EYE_z,RIGHT_EYE_x,RIGHT_EYE_y,RIGHT_EYE_z,LEFT_EAR_x,LEFT_EAR_y,LEFT_EAR_z,RIGHT_EAR_x,RIGHT_EAR_y,RIGHT_EAR_z,LEFT_SHOULDER_x,LEFT_SHOULDER_y,LEFT_SHOULDER_z,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,RIGHT_SHOULDER_z,LEFT_ELBOW_x,LEFT_ELBOW_y,LEFT_ELBOW_z,RIGHT_ELBOW_x,RIGHT_ELBOW_y,RIGHT_ELBOW_z,LEFT_WRIST_x,LEFT_WRIST_y,LEFT_WRIST_z,RIGHT_WRIST_x,RIGHT_WRIST_y,RIGHT_WRIST_z,LEFT_HIP_x,LEFT_HIP_y,LEFT_HIP_z,RIGHT_HIP_x,RIGHT_HIP_y,RIGHT_HIP_z,LEFT_KNEE_x,LEFT_KNEE_y,LEFT_KNEE_z,RIGHT_KNEE_x,RIGHT_KNEE_y,RIGHT_KNEE_z,LEFT_ANKLE_x,LEFT_ANKLE_y,LEFT_ANKLE_z,RIGHT_ANKLE_x,RIGHT_ANKLE_y,RIGHT_ANKLE_z,TOE_x,TOE_y,TOE_z,HOSEL_x,HOSEL_y,HOSEL_z,GRIP_x,GRIP_y,GRIP_z
0,0.26183593,-0.21436282,-1.04108,0.25713795,-0.20897786,-1.0428364,0.26680708,-0.20912549,-1.0447454,0.2469805,-0.20684925,-1.0517676,0.2736791,-0.20723721,-1.0543914,0.2330565,-0.23435359,-1.0701478,0.27766323,-0.23139472,-1.0546951,0.2374779,-0.27768227,-1.0601412,0.26726127,-0.27558935,-1.043699,0.24268784,-0.31461072,-1.0340861,0.25023365,-0.31530127,-1.0282124,0.23861656,-0.31030878,-1.0808387,0.27495474,-0.30540317,-1.0691819,0.22337191,-0.37616646,-1.0625002,0.2857824,-0.3689161,-1.0453668,0.20938224,-0.4361134,-1.0426298,0.29515436,-0.42657223,-1.023882,0.19159964,-0.40833116,-0.8442422,0.19656172,-0.41200393,-0.8645837,0.23698919,-0.33413127,-1.0100287
1,0.2616793,-0.21440753,-1.0410267,0.2569306,-0.20900312,-1.042817,0.26672035,-0.20903626,-1.044537,0.24682438,-0.20681329,-1.0519475,0.27375206,-0.20694333,-1.0542675,0.23306693,-0.2342271,-1.0705414,0.27804586,-0.23095697,-1.0547141,0.23757721,-0.27747333,-1.0598549,0.26746705,-0.274856,-1.0433903,0.24266832,-0.31454858,-1.0341269,0.25014654,-0.3152064,-1.0284678,0.23898798,-0.3093637,-1.0807269,0.2755376,-0.30440065,-1.0688188,0.22346286,-0.37559998,-1.0628266,0.28651863,-0.36846066,-1.044535,0.20975718,-0.43525934,-1.0428497,0.2951057,-0.42643633,-1.024238,0.19099544,-0.40933672,-0.8441908,0.19632998,-0.41276428,-0.86424685,0.2369876,-0.33460188,-1.0096632
2,0.26045328,-0.21516125,-1.0435047,0.25572452,-0.2097425,-1.0452198,0.2658348,-0.20967919,-1.0462134,0.24644631,-0.20696652,-1.0530571,0.27366605,-0.20693499,-1.0542172,0.2332559,-0.23400092,-1.0700344,0.27858317,-0.23083165,-1.0543667,0.23740542,-0.27718288,-1.0595821,0.26761395,-0.27517498,-1.0445396,0.24268681,-0.31416473,-1.033227,0.25011808,-0.3151204,-1.028636,0.23877558,-0.3098868,-1.0803137,0.27543318,-0.30497903,-1.0685982,0.22371061,-0.37572956,-1.0624434,0.2863475,-0.36822337,-1.0441504,0.20982695,-0.43534133,-1.0427123,0.2951315,-0.42634344,-1.0246555,0.19114201,-0.4092525,-0.8442551,0.19648935,-0.41256708,-0.86412203,0.2371395,-0.33470646,-1.0096352
3,0.26139012,-0.21522468,-1.0442551,0.2564471,-0.20980157,-1.0456932,0.2666384,-0.20966174,-1.047094,0.2465635,-0.20706733,-1.0526981,0.2739489,-0.20679228,-1.0543085,0.2331244,-0.23389749,-1.0693325,0.27843857,-0.23050822,-1.0539392,0.23778477,-0.27732733,-1.0588826,0.26730302,-0.2753302,-1.0447671,0.24330492,-0.31381488,-1.0322617,0.2505047,-0.31481022,-1.0279261,0.23849475,-0.30919057,-1.081172,0.2752248,-0.30416107,-1.0694917,0.22374983,-0.37531164,-1.0628781,0.2861352,-0.36794415,-1.0451503,0.20969188,-0.43520007,-1.0427306,0.29517207,-0.4262615,-1.0243454,0.19109899,-0.40926588,-0.8442642,0.19652365,-0.41255093,-0.8640357,0.23718753,-0.33466604,-1.0094888
4,0.26112226,-0.2153606,-1.0472984,0.25599316,-0.20988162,-1.0485046,0.2665777,-0.20966683,-1.0496453,0.24607399,-0.20720004,-1.0535697,0.2740812,-0.20677438,-1.0546075,0.23341928,-0.2337873,-1.0676547,0.278379,-0.23046272,-1.052989,0.23853923,-0.2769733,-1.0575832,0.2675217,-0.2749857,-1.0443921,0.24328071,-0.3137314,-1.032363,0.2500772,-0.31475502,-1.0288548,0.23872764,-0.30885997,-1.0809312,0.27514648,-0.30398473,-1.069797,0.22430208,-0.37445232,-1.0626795,0.28610036,-0.36754355,-1.0456921,0.20999137,-0.43455553,-1.0427498,0.29519537,-0.42577404,-1.0248893,0.19106865,-0.40925416,-0.84432983,0.1965795,-0.41255507,-0.86412007,0.23717764,-0.33463004,-1.009557
5,0.26194718,-0.21522057,-1.0451078,0.2568515,-0.20973256,-1.0462954,0.26720503,-0.20966029,-1.0482608,0.24670772,-0.20704931,-1.0516481,0.27435857,-0.20697862,-1.0544367,0.23362817,-0.23355374,-1.0666564,0.2786394,-0.23062538,-1.052014,0.23814641,-0.2765309,-1.059084,0.26735935,-0.27526864,-1.0441439,0.24359186,-0.31364498,-1.0339146,0.25029555,-0.31497994,-1.0285592,0.23914804,-0.30879533,-1.0802598,0.27572548,-0.30403283,-1.069052,0.2240975,-0.37495744,-1.0626059,0.28678548,-0.36804894,-1.0444852,0.20982821,-0.4350288,-1.0422812,0.29540116,-0.42630997,-1.0241411,0.19056585,-0.40958613,-0.8449396,0.19657075,-0.41257703,-0.8641016,0.23695566,-0.33554563,-1.0092368
6,0.261737,-0.2154306,-1.0447462,0.2567625,-0.21001722,-1.0457542,0.26689264,-0.20995256,-1.0479035,0.24720933,-0.20720899,-1.0507193,0.27401137,-0.2071957,-1.0545034,0.23406252,-0.23357281,-1.0666745,0.27870876,-0.23042284,-1.0523068,0.23799358,-0.27664992,-1.0591675,0.26730576,-0.27485427,-1.0441493,0.24347675,-0.31363392,-1.0339979,0.2504117,-0.3145892,-1.0284793,0.23907225,-0.3087527,-1.0805407,0.27536386,-0.3039643,-1.0695937,0.22435409,-0.37468517,-1.0623002,0.28625718,-0.36781898,-1.0453477,0.20969875,-0.43484122,-1.0425817,0.29525027,-0.42617458,-1.0243535,0.19067806,-0.40948296,-0.84494853,0.19668452,-0.4124647,-0.8641216,0.23692526,-0.33554474,-1.0095159
7,0.25958636,-0.21625449,-1.0468861,0.25491568,-0.21058142,-1.0478371,0.26533127,-0.210791,-1.0491564,0.24646306,-0.20691551,-1.0524112,0.2737499,-0.20754069,-1.0548685,0.23374668,-0.23305239,-1.0680053,0.27902094,-0.2304902,-1.0528799,0.23786947,-0.27625892,-1.0593178,0.26717734,-0.27501646,-1.0450858,0.2435112,-0.31366104,-1.0333068,0.2503452,-0.31480154,-1.0286111,0.23861891,-0.30915546,-1.0806968,0.2752311,-0.30455774,-1.0694401,0.22403769,-0.3752629,-1.0624086,0.28647545,-0.36795622,-1.0446608,0.21041544,-0.43469584,-1.0415226,0.29490936,-0.42616943,-1.0252141,0.19060118,-0.4094751,-0.8449942,0.19663899,-0.41250983,-0.86421,0.23695149,-0.33557078,-1.0094026
8,0.2606156,-0.21665904,-1.0483726,0.2557015,-0.21093993,-1.0488125,0.26621133,-0.21111329,-1.0509655,0.24665518,-0.20717607,-1.051528,0.27404794,-0.20776579,-1.0558488,0.2336959,-0.23330134,-1.0663015,0.2788527,-0.23041669,-1.0519774,0.23849592,-0.27607325,-1.0569597,0.26712725,-0.27438733,-1.0437303,0.24402824,-0.31328887,-1.0316356,0.25075522,-0.31430975,-1.0276808,0.23873498,-0.30902705,-1.0804574,0.2753384,-0.3042516,-1.0694882,0.22408567,-0.3754145,-1.0623274,0.28629717,-0.3679142,-1.0447571,0.21003483,-0.43502665,-1.0419887,0.2949993,-0.42631924,-1.0248045,0.19052911,-0.40952662,-0.8449647,0.19665414,-0.41260397,-0.86419815,0.2369544,-0.33559164,-1.009289
9,0.2607004,-0.21664678,-1.0487816,0.2558768,-0.210896,-1.0489761,0.26635316,-0.21115151,-1.0511626,0.2468022,-0.20716237,-1.0513308,0.2740854,-0.20797002,-1.0557163,0.23377201,-0.23321176,-1.0660294,0.2786005,-0.23073934,-1.0522598,0.2380582,-0.276425,-1.0578376,0.26711795,-0.27479646,-1.0437526,0.24361518,-0.31373304,-1.0323008,0.25048193,-0.3146742,-1.0279291,0.23902601,-0.309013,-1.0798094,0.27535078,-0.3045499,-1.0693271,0.22448756,-0.3749657,-1.0616786,0.28644612,-0.3682151,-1.0444052,0.2097537,-0.43515688,-1.04198,0.2951576,-0.42655644,-1.0243243,0.19061516,-0.4096162,-0.8452471,0.19658859,-0.41269955,-0.8644711,0.23698209,-0.3356967,-1.0091989
