frame,NOSE_x,NOSE_y,LEFT_EYE_x,LEFT_EYE_y,RIGHT_EYE_x,RIGHT_EYE_y,LEFT_EAR_x,LEFT_EAR_y,RIGHT_EAR_x,RIGHT_EAR_y,LEFT_SHOULDER_x,LEFT_SHOULDER_y,RIGHT_SHOULDER_x,RIGHT_SHOULDER_y,LEFT_ELBOW_x,LEFT_ELBOW_y,RIGHT_ELBOW_x,RIGHT_ELBOW_y,LEFT_WRIST_x,LEFT_WRIST_y,RIGHT_WRIST_x,RIGHT_WRIST_y,LEFT_HIP_x,LEFT_HIP_y,RIGHT_HIP_x,RIGHT_HIP_y,LEFT_KNEE_x,LEFT_KNEE_y,RIGHT_KNEE_x,RIGHT_KNEE_y,LEFT_ANKLE_x,LEFT_ANKLE_y,RIGHT_ANKLE_x,RIGHT_ANKLE_y
1.0,0.52909714,0.48103848,0.53612286,0.47622567,0.5223323,0.47634506,0.5506969,0.4725257,0.51397854,0.47335306,0.57356864,0.4902259,0.5071101,0.49135685,0.5651746,0.5266602,0.51869255,0.52735996,0.5509099,0.5629799,0.5378013,0.56349427,0.571052,0.54408824,0.51829314,0.54376435,0.58704144,0.60431546,0.49559265,0.6027762,0.60036653,0.6601842,0.47471732,0.65923524
2.0,0.5259747,0.48119164,0.53284746,0.47674096,0.5203643,0.47657916,0.5489091,0.47298527,0.514267,0.4733176,0.5742165,0.4898882,0.50746584,0.4909415,0.56471646,0.52589566,0.51923114,0.52711254,0.5498856,0.5628217,0.5384445,0.5636851,0.5707721,0.5451392,0.51732564,0.5447568,0.5871012,0.6044622,0.49366513,0.60341424,0.5998266,0.6586886,0.47479072,0.6592432
3.0,0.5287477,0.48169073,0.53554153,0.47705954,0.5222344,0.47713536,0.5499323,0.47277674,0.5141729,0.4735547,0.5735381,0.48958048,0.5067718,0.49112466,0.5644526,0.5257001,0.51965016,0.527494,0.548794,0.5629443,0.5378794,0.56418586,0.5706474,0.545065,0.51742196,0.54493517,0.58625823,0.60472006,0.49376696,0.6039457,0.60012794,0.6593493,0.47460496,0.6596811
4.0,0.52884084,0.4818847,0.53575546,0.47716326,0.52221805,0.47722226,0.55007285,0.47281638,0.5139453,0.47352973,0.5732973,0.4895583,0.50678194,0.49111602,0.5644581,0.5256637,0.51988363,0.52731746,0.5487882,0.56299376,0.5378763,0.56403667,0.5707512,0.54425883,0.51776874,0.5441855,0.58601713,0.60402745,0.49369636,0.60355026,0.59946823,0.6588633,0.474403,0.6598977
5.0,0.52835584,0.4816389,0.53513604,0.47703227,0.52205086,0.47703394,0.5494207,0.47281235,0.51430213,0.47341835,0.57293826,0.48933443,0.50660217,0.49107486,0.5643959,0.52481616,0.51997215,0.52735555,0.54975575,0.5623831,0.53876656,0.563577,0.57097596,0.5442542,0.5180191,0.54427654,0.5855011,0.60383743,0.4938939,0.60348237,0.59970057,0.6588278,0.47447893,0.65963215
6.0,0.5275426,0.48200017,0.5343305,0.47739792,0.5214574,0.47726694,0.5485137,0.47314644,0.5140299,0.4734641,0.5720341,0.4896801,0.50605965,0.49136582,0.56452024,0.524607,0.5200829,0.52761257,0.54992396,0.5625365,0.53902096,0.56392497,0.57000244,0.54431915,0.51721656,0.54431903,0.58539695,0.604507,0.49330562,0.6041922,0.59958994,0.6595601,0.47378752,0.6602118
7.0,0.5271838,0.48250848,0.5336522,0.4779438,0.52137315,0.4778677,0.54764867,0.47326267,0.514569,0.47371522,0.57229644,0.48943853,0.50627565,0.49123713,0.5651601,0.5245417,0.5199995,0.52752286,0.5501949,0.56245583,0.5392235,0.56374484,0.569956,0.5445826,0.51705205,0.544592,0.5858553,0.6044646,0.49272913,0.60409105,0.5991805,0.6595362,0.4740144,0.6599821
8.0,0.5325578,0.48234496,0.53881973,0.4772752,0.5253619,0.47786814,0.550596,0.47210568,0.51534015,0.47383156,0.5726399,0.48873705,0.50599223,0.49168402,0.56503075,0.5243231,0.52017677,0.52785504,0.5500646,0.56235105,0.5387906,0.5637609,0.57053643,0.5439783,0.5175846,0.54445976,0.58545876,0.60476667,0.4938221,0.60422724,0.5987309,0.66003597,0.47409746,0.6600066
9.0,0.52870303,0.48245907,0.53535986,0.4777336,0.5222532,0.47783327,0.54899645,0.47284594,0.51402736,0.47360793,0.57232445,0.4893386,0.50610876,0.49109173,0.5637772,0.52486485,0.5198392,0.5272536,0.54927266,0.5627568,0.53916615,0.56371033,0.57018477,0.5446575,0.5173302,0.5445817,0.58547884,0.6049215,0.49378753,0.603643,0.5989289,0.6601365,0.47411478,0.6600732
10.0,0.5302828,0.48262224,0.53675765,0.4777295,0.5234495,0.47807187,0.5497144,0.4723807,0.51437503,0.47367123,0.5724037,0.48872107,0.50609463,0.49133274,0.5640376,0.5240955,0.51944906,0.5275127,0.5494488,0.56265575,0.53895885,0.56393844,0.5700292,0.54479355,0.5171824,0.5451591,0.5855386,0.6051352,0.4929578,0.60482585,0.59900707,0.6600786,0.47387922,0.66061664
