frame,NOSE_conf,LEFT_EYE_conf,RIGHT_EYE_conf,LEFT_EAR_conf,RIGHT_EAR_conf,LEFT_SHOULDER_conf,RIGHT_SHOULDER_conf,LEFT_ELBOW_conf,RIGHT_ELBOW_conf,LEFT_WRIST_conf,RIGHT_WRIST_conf,LEFT_HIP_conf,RIGHT_HIP_conf,LEFT_KNEE_conf,RIGHT_KNEE_conf,LEFT_ANKLE_conf,RIGHT_ANKLE_conf
1.0,0.98739386,0.9379016,0.9761677,0.5118935,0.8314937,0.97731256,0.9956594,0.7596252,0.97526246,0.77162325,0.9609225,0.9892062,0.99578035,0.988167,0.99589384,0.9812198,0.9916591
2.0,0.98760974,0.9265999,0.9803776,0.41896963,0.8782472,0.97756267,0.995634,0.7585951,0.9754304,0.76918054,0.9610538,0.9890765,0.99566275,0.98771787,0.9956677,0.9803935,0.99108654
3.0,0.9863599,0.91225857,0.9807004,0.36167127,0.895429,0.9762383,0.9955031,0.7489834,0.9756411,0.76029676,0.9611757,0.98880017,0.9956049,0.987428,0.9956267,0.9801738,0.99104804
4.0,0.98589617,0.90991074,0.980113,0.3597199,0.8944803,0.976082,0.99544525,0.74993163,0.97552353,0.7611171,0.96104324,0.98881406,0.9955967,0.9874835,0.99563,0.9803222,0.99109346
5.0,0.9830777,0.88777715,0.9780764,0.31600547,0.9029499,0.9754768,0.9952573,0.7534342,0.9757356,0.76310074,0.9612215,0.9892539,0.99572265,0.98803014,0.99577147,0.9811803,0.9913804
6.0,0.9832261,0.8861185,0.9787988,0.30749068,0.90764266,0.9752195,0.9953381,0.7475825,0.9760492,0.7578237,0.9615272,0.98915815,0.995747,0.98800886,0.995836,0.98129225,0.99153453
7.0,0.9853902,0.90355664,0.98028255,0.34047666,0.9018333,0.9760897,0.99546695,0.74853307,0.97569,0.7588972,0.96107394,0.9889733,0.995663,0.98768413,0.995704,0.9806064,0.99120635
8.0,0.9841971,0.89547724,0.97905594,0.3291945,0.9026053,0.9761404,0.9953536,0.75399286,0.9755197,0.7630219,0.96085984,0.98909914,0.9956481,0.9877943,0.995673,0.98063046,0.9910937
9.0,0.9845852,0.900839,0.9788342,0.3473578,0.8974389,0.9765919,0.99546814,0.7584151,0.97612077,0.76764977,0.96184576,0.9892175,0.9957125,0.9877914,0.99569327,0.9804387,0.9910529
10.0,0.98471653,0.904171,0.97838914,0.36089987,0.89276266,0.9773068,0.99541074,0.7652704,0.97538334,0.7729011,0.9608497,0.9895298,0.9957378,0.9882351,0.99573827,0.98109484,0.9911862
11.0,0.9848311,0.9078925,0.97769004,0.37859938,0.8858571,0.9779564,0.9953804,0.7732898,0.9750436,0.78035825,0.9606062,0.9898112,0.99577314,0.9886048,0.99578553,0.9816103,0.99129885
12.0,0.98643494,0.9252061,0.9773717,0.44391656,0.86281574,0.9782528,0.9954797,0.77195895,0.97458684,0.7800576,0.9600192,0.98961174,0.9957267,0.9884326,0.9957561,0.9813804,0.9912872
13.0,0.9862001,0.9112448,0.98022056,0.36333072,0.89565,0.9783693,0.9954091,0.7719804,0.9746971,0.7802015,0.96044266,0.9898363,0.9957547,0.9887051,0.995793,0.98178905,0.99130815
14.0,0.98707217,0.92020345,0.980415,0.39291447,0.88735616,0.9784466,0.99547076,0.7695789,0.97447217,0.77820677,0.96007067,0.9895818,0.9956802,0.988393,0.99570906,0.98131263,0.9911493
15.0,0.9865153,0.9160847,0.9800143,0.382612,0.88900995,0.97765064,0.99546874,0.7633057,0.9749426,0.77281934,0.9605443,0.98934305,0.9956643,0.9880989,0.9956927,0.98094934,0.99112344
